epsilon,0.1,,0.2,,0.3,,0.4,,0.5,,0.6,,0.7,,0.8,,0.9,,1,,1.5,,2,,2.5,,3,,3.5,,4,,4.5,,5,
,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL
0,369.138,362.3669,370.6684,362.0783,369.8825,366.1676,370.892,366.4267,369.3598,361.9255,370.1446,359.2172,369.7413,364.8975,369.5822,362.4294,370.652,365.4759,369.3817,361.6937,370.4019,363.5579,370.1907,359.4968,370.9761,359.5847,369.7308,359.5107,369.0709,358.6947,370.6087,368.7374,369.9609,360.0712,370.4814,360.1328
0.5,7.0632,6.5633005,6.8906,6.387887926,6.6669,6.198159897,6.3348,5.760436374,6.1272,5.675300967,5.8471,5.281676931,5.5748,5.021127974,5.4578,4.922463024,5.0676,4.621446312,4.9037,4.415288868,4.1035,3.591528596,3.3607,2.834325114,2.894,2.313633353,2.5256,1.943636389,2.265,1.710282873,2.085,1.497998465,1.9494,1.367196607,1.8532,1.241935586
1,1.7314,1.123645984,1.5881,0.94843468,1.4491,0.807263499,1.3245,0.661546306,1.2252,0.528878938,1.1431,0.3992973,1.095,0.328002681,1.0586,0.249343653,1.0377,0.196169718,1.0256,0.161701128,1.0049,0.069831781,1.0007,0.026449574,1.0002,0.014141428,1,0,1,0,1,0,1.0001,0.01,1,0
1.5,1.1642,0.438015463,1.0301,0.175490939,1.0021,0.045779904,1.0004,0.019996999,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2,1.0033,0.057353631,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2.5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3.5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4.5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
