epsilon,0.1,,0.2,,0.3,,0.4,,0.5,,0.6,,0.7,,0.8,,0.9,,1,,1.5,,2,,2.5,,3,,3.5,,4,,4.5,,5,
,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL
0,369.8394,357.5245,370.9992,365.4403,369.3458,366.5924,370.4131,362.6715,369.2455,363.4586,370.974,360.2861,369.2747,360.472,370.6841,361.2013,370.1759,364.5472,369.1706,356.1285,370.9792,361.4389,369.6595,359.3098,370.1105,357.0147,369.1137,362.1619,369.3165,360.0327,369.574,366.9483,369.4515,363.9565,370.7329,362.5421
0.5,14.7252,14.10443825,14.339,13.88075454,14.0875,13.60109344,13.7187,13.29193131,13.0106,12.47492084,12.7189,11.9197773,12.1423,11.75197267,11.7687,11.27268857,11.5512,11.09916653,10.9934,10.33030629,9.3877,8.885768644,8.3256,7.866242586,7.3277,6.784225474,6.6805,6.097699398,6.1388,5.684607817,5.7499,5.277322712,5.4974,5.014888648,5.3699,4.77618626
1,2.3973,1.840595417,2.2246,1.643357813,2.0762,1.486208075,1.9687,1.399898668,1.7957,1.207106963,1.7312,1.113674363,1.6015,0.991259809,1.5406,0.909194316,1.4446,0.807710393,1.4002,0.753191005,1.2247,0.527672013,1.1545,0.417189591,1.1115,0.353666874,1.0824,0.30268697,1.0696,0.270856376,1.0602,0.253342413,1.0564,0.245815139,1.0498,0.225665798
1.5,1.3638,0.700070404,1.238,0.549532709,1.1291,0.381376107,1.0687,0.270901548,1.0344,0.190840986,1.0175,0.133399886,1.0118,0.109826983,1.007,0.083376826,1.0038,0.061529981,1.0027,0.051893924,1.0005,0.022356207,1.0002,0.014141428,1,0,1,0,1,0,1,0,1.0001,0.01,1,0
2,1.096,0.323101284,1.0128,0.112416297,1.0013,0.036033871,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
2.5,1.0055,0.073961456,1.0001,0.01,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
3.5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4.5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
