epsilon,0.1,,0.2,,0.3,,0.4,,0.5,,0.6,,0.7,,0.8,,0.9,,1,,1.5,,2,,2.5,,3,,3.5,,4,,4.5,,5,
,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL
0,369.2303,360.4386,369.6101,362.7244,370.2156,359.8065,369.7476,358.4035,369.8295,367.0417,369.5153,366.6575,370.269,363.7237,369.2144,361.8308,370.3002,357.3295,369.9997,358.3651,370.7095,364.0647,369.6018,364.0452,370.9152,358.6143,370.2742,360.9666,369.0475,367.3713,369.1391,362.1811,370.8927,366.963,369.319,360.7831
0.5,134.581,136.426601,137.9814,136.3789382,132.1366,130.6636286,131.5664,130.3540978,133.6992,133.2597341,128.4889,127.5875728,130.062,129.9187717,130.2445,128.7370461,128.9009,128.958721,128.0627,126.5246301,122.9235,123.7496984,116.8153,115.3743087,114.0686,114.8933346,110.4516,110.2242233,106.3128,104.8066191,105.3876,104.0085676,101.5891,99.28874099,98.0512,96.30743321
1,27.7635,27.48304022,27.5897,27.47450525,26.1649,25.53693642,26.1846,26.07149584,25.7043,24.93735047,24.9468,24.34866435,24.8517,24.6312358,24.6404,24.41027804,24.304,24.08756536,23.7572,22.98706786,21.8629,21.22559201,20.232,19.7281397,18.2986,17.79233247,16.976,16.36713207,15.5935,14.97361275,14.7168,14.44760434,13.7367,13.24156739,12.6367,12.08897545
1.5,8.4426,8.05854821,8.1172,7.545724482,7.9032,7.419456489,7.7465,7.079325493,7.4557,6.955708138,7.2275,6.69189225,7.1178,6.517205732,6.9672,6.559773412,6.7504,6.199818031,6.6286,6.076212149,5.7996,5.359282791,5.029,4.515439948,4.396,3.810621483,3.9885,3.475223082,3.5434,3.016558702,3.375,2.781788783,3.1212,2.564755029,2.9573,2.431844587
2,3.8476,3.286708762,3.8518,3.323874482,3.608,3.056512756,3.4744,2.896995668,3.3382,2.720139827,3.2283,2.656517423,3.0828,2.533413898,2.9675,2.459196721,2.8574,2.342736452,2.8057,2.25598237,2.3114,1.723637761,1.9856,1.403420678,1.7641,1.160511038,1.6063,0.974163851,1.5105,0.887337865,1.4357,0.787862667,1.3863,0.720780315,1.3398,0.682482629
2.5,2.4415,1.863524892,2.3162,1.73069844,2.2159,1.614170916,2.092,1.506042103,2.0264,1.460519206,1.8902,1.301043132,1.813,1.208708856,1.7424,1.133565497,1.6601,1.022385699,1.5709,0.941627238,1.3441,0.670626695,1.2098,0.514402975,1.1419,0.395701969,1.1052,0.34167914,1.0757,0.285267677,1.0531,0.235978725,1.0486,0.227251412,1.0408,0.206735662
3,1.8167,1.222068106,1.7037,1.08075118,1.6133,0.988666201,1.5199,0.895703198,1.4355,0.798813846,1.3636,0.702455966,1.2869,0.60035359,1.2353,0.539595243,1.1833,0.465105087,1.1487,0.414976542,1.0564,0.245815139,1.0267,0.165498788,1.0124,0.110668264,1.0087,0.093942496,1.0051,0.071235507,1.0032,0.058224557,1.0031,0.055594056,1.0027,0.051893924
3.5,1.5115,0.871173717,1.4346,0.78599276,1.3254,0.645411881,1.2253,0.526657049,1.1566,0.42153791,1.0961,0.328444177,1.0726,0.277375078,1.0508,0.228964195,1.0328,0.183650572,1.0233,0.157986094,1.0052,0.071926889,1.0012,0.034621956,1.0004,0.019996999,1.0003,0.017318776,1.0001,0.01,1,0,1,0,1,0
4,1.343,0.682786658,1.2348,0.541570208,1.1367,0.385782313,1.0677,0.270044445,1.0353,0.188831872,1.0178,0.132984693,1.0094,0.097532514,1.005,0.070537207,1.0032,0.056480784,1.0013,0.036033871,1.0002,0.014141428,1,0,1,0,1,0,1,0,1,0,1,0,1,0
4.5,1.2257,0.528003209,1.1124,0.355216635,1.0427,0.209955038,1.0112,0.108054281,1.0032,0.056480784,1.001,0.031608542,1.0004,0.019996999,1.0001,0.01,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
5,1.1519,0.414781381,1.044,0.218331782,1.0065,0.080364145,1.0008,0.028274369,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0
