epsilopn,h,arl0,sdrl0
0.1,1709.619141,370.6412,356.8567
0.2,860.7421875,370.0679,360.1999
0.3,581.4941406,369.1666,359.3317
0.4,436.7675781,370.1734,364.6996
0.5,352.34375,369.8042,365.619
0.6,294.8242188,370.3026,355.3727
0.7,256.149292,369.7813,368.4326
0.8,225.8239746,369.648,364.5811
0.9,201.5869141,370.7578,357.2071
1,182.7490234,370.9867,362.7134
1.5,126.1401367,370.6192,361.7168
2,98.41299057,369.1654,362.3621
2.5,81.51367,370.988,363.1253
3,70.25146484,369.337,362.4038
3.5,62.47314453,370.7987,363.8995
4,56.85546875,370.8357,365.7537
4.5,52.17407227,369.4298,360.0528
5,48.64501953,370.5235,367.5787
