epsilon,h,arl0,sdrl0
0.1,401.2451172,369.8968,359.4479
0.2,203.7109375,370.1179,362.7611
0.3,137.6831055,369.42,362.4693
0.4,104.3574095,369.6045,354.7917
0.5,84.78995442,369.8155,361.6066
0.6,71.61334038,370.6256,361.6598
0.7,61.98791504,369.2326,359.8638
0.8,54.90234375,369.0928,361.2987
0.9,49.52148438,369.8076,365.5475
1,45.04394531,369.7651,360.9799
1.5,32.00468063,369.9794,365.6181
2,25.61035156,369.1072,362.583
2.5,21.78707719,369.2102,359.614
3,19.32617188,369.4575,360.2951
3.5,17.65625,369.9357,360.1501
4,16.38183594,370.8482,367.1817
4.5,15.43701172,369.7417,364.666
5,14.71019745,369.934,363.3009
