,First,,Second,,Third,,Fourth,,All,
delta,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL
0,370.22531,364.333105,369.40819,361.5869988,368.93542,361.3669034,368.09826,360.9343434,366.54473,357.5852539
0.5,2.65064,2.089514597,2.22361,1.650725845,1.85738,1.266568426,2.10251,1.519468587,1,0
1,1.00199,0.045011778,1.00071,0.026636497,1.00012,0.010953849,1.00032,0.017885771,1,0
1.5,1,0,1,0,1,0,1,0,1,0
2,1,0,1,0,1,0,1,0,1,0
2.5,1,0,1,0,1,0,1,0,1,0
3,1,0,1,0,1,0,1,0,1,0
3.5,1,0,1,0,1,0,1,0,1,0
4,1,0,1,0,1,0,1,0,1,0
4.5,1,0,1,0,1,0,1,0,1,0
5,1,0,1,0,1,0,1,0,1,0
