,First,,Second,,Third,,Fourth,,All,
delta,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL
0,369.78448,361.696232,368.72217,360.4204111,368.72101,361.0477974,368.58739,360.6801196,368.19255,359.6625073
0.5,4.97941,4.456427341,4.96866,4.45861151,4.97058,4.443740759,5.00025,4.483979371,1.04066,0.205200354
1,1.04096,0.207226224,1.03953,0.202799878,1.0398,0.202821033,1.04002,0.203712578,1,0
1.5,1.00002,0.004472114,1,0,1.00001,0.003162278,1.00001,0.003162278,1,0
2,1,0,1,0,1,0,1,0,1,0
2.5,1,0,1,0,1,0,1,0,1,0
3,1,0,1,0,1,0,1,0,1,0
3.5,1,0,1,0,1,0,1,0,1,0
4,1,0,1,0,1,0,1,0,1,0
4.5,1,0,1,0,1,0,1,0,1,0
5,1,0,1,0,1,0,1,0,1,0
