,First,,Second,,Third,,Fourth,,All,
delta,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL,ARL,SDRL
0,367.07127,359.7479563,368.30995,361.5815748,368.06639,360.9394025,367.43049,359.2621139,368.51919,361.3048983
0.5,4.11265,3.590828445,3.63172,3.103366906,3.2444,2.692084901,3.70937,3.189552623,1.44603,0.804669941
1,1.01945,0.140825764,1.01203,0.110658942,1.00691,0.083080208,1.01299,0.114461307,1,0
1.5,1,0,1,0,1,0,1,0,1,0
2,1,0,1,0,1,0,1,0,1,0
2.5,1,0,1,0,1,0,1,0,1,0
3,1,0,1,0,1,0,1,0,1,0
3.5,1,0,1,0,1,0,1,0,1,0
4,1,0,1,0,1,0,1,0,1,0
4.5,1,0,1,0,1,0,1,0,1,0
5,1,0,1,0,1,0,1,0,1,0
